I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
132.3828,0.0865,-0.4211,-0.0737,0.4362,229.8333,97.0000,114.0000,135.0000,123.0000,8.5000,10.5000,23.0000,4.0000,7.0000,6.0000,32.0000,4.0000,21.0759,0.1521,0.1319,0.5787,6.4988,0.0483,0.0444,0.1652,132.5384,0.1007,0.4239,0.1810,2.1458,1.4928,1.7990,3.6455,-0.5984,-0.0595,-0.6225,-1.4048,1.0012,1.1358,1.0054,1.6399,0.1593,1.8774,0.3136,7.6771
132.1801,-0.1901,-0.3122,-0.6515,0.7471,232.6667,172.0000,95.0000,128.0000,140.0000,5.2500,14.8333,13.2500,13.7500,7.0000,20.0000,11.0000,11.0000,23.8982,0.1434,0.2924,0.4020,7.9509,0.0365,0.0973,0.1386,132.4111,0.1953,0.3256,0.6710,1.6489,2.8617,1.7899,1.7351,-0.2733,-0.4686,0.1393,-0.3488,1.0017,1.0173,1.0462,1.0213,0.1810,0.7530,0.9640,0.6184
152.6220,0.0012,-0.4046,-0.6562,0.7709,241.3846,188.0000,129.0000,154.0000,195.0000,27.6667,26.5000,27.5500,27.3125,70.0000,19.0000,68.0000,73.0000,63.5952,0.2851,0.1170,0.3115,21.6597,0.0959,0.0348,0.0985,154.1220,0.0960,0.4034,0.6554,1.5901,1.6905,2.0655,2.8606,-0.1361,0.3422,-0.3969,1.1929,1.0098,1.1384,1.0037,1.0113,0.4188,3.7464,0.2916,0.4837
131.3716,0.0326,-0.4890,-0.2764,0.5626,269.0571,106.0000,111.0000,142.0000,134.0000,5.0000,14.5000,17.3333,9.7500,4.0000,10.0000,42.0000,7.0000,24.7721,0.1414,0.1297,0.5615,7.7153,0.0467,0.0422,0.1948,131.5915,0.0573,0.4905,0.3420,1.7969,1.8368,1.8865,1.6456,-0.0928,0.5537,0.2276,-0.4442,1.0017,1.4071,1.0036,1.2083,0.1887,4.8156,0.2660,2.2534
137.6886,0.1461,-0.2655,-0.1068,0.3213,226.8864,146.0000,139.0000,133.0000,118.0000,15.7750,14.7500,20.2500,4.0000,33.0000,27.0000,44.0000,2.0000,42.2089,0.1572,0.4004,0.5200,13.7734,0.0469,0.1598,0.1739,138.3602,0.1559,0.3142,0.2086,1.6967,2.0717,1.3007,1.6431,0.3442,-0.3750,0.0672,-0.4924,1.0049,1.0473,1.1569,1.4019,0.3073,1.0863,1.6405,4.9301
127.6483,0.1356,-0.2285,-0.0606,0.2725,186.2500,143.0000,124.0000,116.0000,98.0000,11.8750,15.8750,5.0000,3.6667,31.0000,23.0000,4.0000,8.0000,16.7911,0.1397,0.3561,0.3646,5.5143,0.0396,0.1122,0.1461,127.7636,0.1396,0.2574,0.1546,1.6416,1.9884,2.2110,1.2478,-0.1142,-0.3597,-0.7069,0.1856,1.0009,1.0415,1.1071,1.0815,0.1316,1.0674,1.6175,2.7199
136.3627,0.1962,-0.1833,0.1745,0.3202,211.5526,123.0000,137.0000,130.0000,73.0000,13.6667,14.2500,17.5833,3.0000,22.0000,19.0000,40.0000,1.0000,31.9614,0.1788,0.2099,0.4918,10.8442,0.0486,0.0774,0.1443,136.7819,0.2044,0.2004,0.2188,1.6524,2.1699,1.3901,2.3747,-0.1874,-0.2405,-0.1272,-0.6446,1.0031,1.0287,1.0816,1.1355,0.2348,0.9141,1.1851,2.8276
126.7193,0.3045,-0.3411,-0.1685,0.4873,195.6154,104.0000,134.0000,96.0000,109.0000,5.0000,16.9167,6.2500,4.0000,2.0000,17.0000,5.0000,2.0000,13.7626,0.0994,0.2386,0.1620,4.3096,0.0328,0.0711,0.0478,126.7898,0.3060,0.3481,0.1748,1.8595,1.9124,2.1367,2.1390,-0.2966,0.6100,-0.2195,-0.0697,1.0006,1.0056,1.0207,1.0380,0.1086,0.3274,0.7069,0.9818
133.2799,0.1002,-0.4197,-0.5181,0.6743,209.7368,137.0000,131.0000,114.0000,141.0000,36.6667,15.5833,26.3333,40.0000,42.0000,17.0000,17.0000,19.0000,27.2865,0.2869,0.1870,0.3289,8.3889,0.0947,0.0554,0.0808,133.5390,0.1382,0.4255,0.5233,1.7751,1.5892,2.1019,3.0903,-0.1638,0.1420,-0.7376,0.5748,1.0019,1.2789,1.0084,1.0119,0.2049,3.3470,0.4451,0.6401
174.3781,-0.2239,-0.1431,-0.2880,0.3919,196.9403,274.0000,116.0000,205.0000,184.0000,33.0486,10.0000,40.6000,30.3333,153.0000,8.0000,90.0000,75.0000,97.4735,0.5276,0.2667,0.6023,31.7067,0.1480,0.0808,0.2100,177.1949,0.2512,0.1722,0.3423,1.6918,3.3237,1.8634,1.5681,-0.2979,1.2552,-0.5179,0.3385,1.0162,1.0835,1.1300,1.2015,0.5638,2.4381,1.8787,2.5379
