I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
123.8171,0.1345,-0.2667,-0.0210,0.2994,199.9615,111.0000,114.0000,109.0000,102.0000,12.0000,6.0000,15.0000,7.5000,10.0000,4.0000,11.0000,4.0000,17.7291,0.1390,0.1243,0.5566,5.8620,0.0361,0.0333,0.1700,123.9505,0.1400,0.2680,0.1676,1.5523,4.4232,2.4280,1.8525,0.0912,1.5108,0.4411,0.0745,1.0011,1.0336,1.0075,1.1485,0.1433,1.0412,0.4689,4.2422
127.2368,0.1065,-0.3535,-0.0718,0.3761,194.3333,103.0000,115.0000,127.0000,106.0000,11.0000,12.2500,15.0833,2.7500,9.0000,11.0000,31.0000,1.0000,22.6384,0.0838,0.1838,0.4973,7.0673,0.0225,0.0681,0.1435,127.4270,0.1098,0.3596,0.1605,1.8334,2.3638,1.5507,3.2728,0.1176,0.3353,0.4153,-1.2083,1.0015,1.0210,1.0179,1.5490,0.1781,0.7878,0.5253,6.7913
124.0536,0.1861,-0.4784,-0.1842,0.5453,215.6512,93.0000,119.0000,110.0000,119.0000,5.2500,26.7500,23.6667,24.5000,5.0000,13.0000,12.0000,16.0000,14.8033,0.1050,0.1426,0.2907,4.2549,0.0221,0.0361,0.0939,124.1249,0.1871,0.4792,0.2055,1.9751,7.0237,2.5471,1.6978,-0.2837,-1.9962,0.0238,0.3678,1.0006,1.0069,1.0028,1.1209,0.1194,0.5672,0.2988,1.7310
121.9064,0.2098,-0.4013,0.0772,0.4594,179.7619,79.0000,118.0000,115.0000,95.0000,2.0000,4.0000,7.7500,6.0000,1.0000,1.0000,9.0000,6.0000,11.1166,0.2184,0.0709,0.1904,3.7194,0.0719,0.0223,0.0546,121.9604,0.2217,0.4015,0.0927,1.6418,1.5910,1.8496,1.9992,-0.0950,-0.0068,-0.3111,-0.0768,1.0004,1.0542,1.0015,1.1712,0.0912,1.0698,0.1769,2.7040
124.3696,-0.0056,-0.3419,-0.5460,0.6442,172.7200,144.0000,99.0000,107.0000,131.0000,10.6250,4.0000,12.0000,8.0000,25.0000,3.0000,14.0000,5.0000,16.7349,0.1422,0.2791,0.2768,5.2653,0.0422,0.1076,0.1009,124.4765,0.0416,0.3600,0.5557,1.7800,2.0279,1.6163,1.4803,-0.2623,0.2673,-0.4912,0.1408,1.0009,1.1881,1.0459,1.0162,0.1346,4.6470,0.8298,0.5105
122.0042,0.1040,-0.3328,-0.2879,0.4522,205.2000,117.0000,112.0000,106.0000,118.0000,5.2500,5.0000,6.0000,11.2500,7.0000,5.0000,8.0000,23.0000,11.6176,0.1553,0.1252,0.3091,3.7254,0.0567,0.0395,0.0974,122.0588,0.1186,0.3343,0.3013,1.8443,1.4629,2.4167,2.2278,-0.2298,0.2652,0.8430,0.6266,1.0004,1.1320,1.0068,1.0543,0.0952,1.6008,0.3785,1.1198
131.0593,0.1260,-0.1802,-0.1454,0.2636,238.7308,145.0000,124.0000,112.0000,107.0000,11.6667,12.2500,15.6667,4.0000,19.0000,13.0000,31.0000,3.0000,28.9543,0.1885,0.3363,0.3199,9.9970,0.0636,0.1200,0.0877,131.4254,0.1424,0.2167,0.1731,1.6666,2.1655,1.7551,3.4050,-0.2744,0.7613,-0.5044,-1.1708,1.0028,1.1125,1.1909,1.1523,0.2212,1.5577,2.0703,2.2936
123.6308,0.1039,-0.1640,-0.2154,0.2899,199.4667,121.0000,110.0000,104.0000,106.0000,3.7500,5.0000,12.5000,4.5000,1.0000,2.0000,16.0000,4.0000,12.3411,0.1224,0.3405,0.2827,3.9911,0.0374,0.1100,0.0963,123.6930,0.1107,0.1959,0.2373,1.8796,3.1491,1.9695,1.8338,-0.5143,1.2296,0.5583,-0.5358,1.0005,1.0604,1.1497,1.0907,0.0998,1.2052,2.2754,1.3618
125.4923,0.0680,-0.2473,-0.4630,0.5293,174.3929,145.0000,115.0000,102.0000,129.0000,7.2500,8.0000,14.5000,8.6667,5.0000,7.0000,20.0000,12.0000,16.6760,0.2409,0.0987,0.5491,5.3696,0.0932,0.0345,0.2137,125.6031,0.1147,0.2499,0.5090,1.8641,1.4171,1.5116,1.3437,-0.4598,0.3912,0.2401,-0.0584,1.0009,1.3857,1.0093,1.0977,0.1329,4.0029,0.4007,1.2525
121.7086,0.2441,-0.1421,0.0796,0.2935,181.8824,122.0000,122.0000,96.0000,77.0000,10.5000,7.0000,10.0000,3.0000,15.0000,4.0000,12.0000,1.0000,11.7749,0.1838,0.1232,0.3321,3.1465,0.0619,0.0367,0.0813,121.7481,0.2528,0.1474,0.1134,2.2202,1.6081,1.9002,2.6446,0.0744,-0.0496,-0.1046,0.1187,1.0003,1.0304,1.0314,1.2178,0.0968,0.7613,0.8765,4.0297
