I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
125.2500,0.1338,-0.2596,-0.0777,0.3022,189.7826,117.0000,115.0000,111.0000,104.0000,4.5000,12.0000,10.4000,4.5000,5.0000,8.0000,12.0000,2.0000,13.9399,0.1137,0.0478,0.5184,4.8484,0.0337,0.0145,0.1833,125.3397,0.1377,0.2604,0.1969,1.9309,2.2715,2.2726,1.7507,-0.6164,-0.5566,-0.6691,-0.5036,1.0007,1.0299,1.0015,1.2869,0.1113,0.8653,0.1838,4.0921
122.8456,0.1964,-0.3584,-0.1913,0.4512,214.0690,107.0000,123.0000,109.0000,107.0000,18.3333,7.0000,8.7500,5.0000,21.0000,4.0000,15.0000,6.0000,11.5454,0.2606,0.1832,0.2686,3.6521,0.0857,0.0598,0.0749,122.8980,0.2144,0.3648,0.2067,2.1826,1.6605,1.7004,2.1351,-0.6473,0.0913,-0.2686,-0.2682,1.0004,1.0874,1.0132,1.0702,0.0940,1.3902,0.5121,1.4452
122.0232,0.0416,-0.3589,-0.1456,0.3895,155.3810,106.0000,104.0000,117.0000,101.0000,6.2500,5.0000,10.0000,2.0000,7.0000,4.0000,15.0000,1.0000,11.4895,0.1378,0.1112,0.2360,3.8376,0.0536,0.0388,0.0695,122.0806,0.0673,0.3616,0.1624,1.7009,1.6000,1.5689,2.6379,-0.0843,0.5751,0.0520,-0.9062,1.0005,1.4653,1.0055,1.1008,0.0942,4.4414,0.3101,1.6804
126.3303,0.1113,-0.3950,-0.2852,0.4998,232.1379,107.0000,121.0000,114.0000,129.0000,13.5000,9.4167,11.0000,7.0000,6.0000,15.0000,14.0000,8.0000,18.4053,0.1503,0.2417,0.5288,5.9387,0.0600,0.0928,0.1713,126.4650,0.1257,0.4037,0.3303,1.9456,1.1952,1.5320,1.7175,-0.4561,0.1492,0.4919,-0.0609,1.0011,1.1324,1.0265,1.1623,0.1458,1.4633,0.6237,2.0787
128.5805,-0.0903,-0.4716,-0.5527,0.7321,186.3929,125.0000,101.0000,134.0000,151.0000,14.0000,13.0000,10.5000,12.7917,16.0000,16.0000,22.0000,17.0000,26.2072,0.1235,0.2522,0.6516,8.5994,0.0463,0.0702,0.2180,128.8574,0.1010,0.4745,0.5907,1.6354,1.3710,3.6255,1.7349,0.0026,0.2794,1.3515,0.3114,1.0022,1.1199,1.0107,1.0729,0.2040,1.4853,0.5405,1.2382
124.7970,0.0705,-0.3656,-0.0705,0.3790,201.7500,101.0000,111.0000,131.0000,106.0000,18.0000,28.0000,24.0000,19.0000,7.0000,16.0000,27.0000,12.0000,17.8404,0.2283,0.1626,0.4913,4.4642,0.0687,0.0399,0.1218,124.8757,0.0990,0.3680,0.1416,2.1951,2.0673,2.2815,2.3171,0.1764,0.5278,-0.1606,-0.3859,1.0006,1.2990,1.0058,1.2839,0.1430,3.6571,0.4456,5.4248
122.3268,0.1261,-0.3792,-0.2098,0.4514,215.7500,106.0000,111.0000,109.0000,101.0000,4.2500,10.0000,7.6667,3.0000,5.0000,8.0000,8.0000,3.0000,9.9479,0.0564,0.2853,0.2914,3.2235,0.0173,0.0923,0.0765,122.3675,0.1274,0.3901,0.2240,1.8747,2.1347,2.8751,2.9027,-0.4081,-0.6398,-1.1545,-0.6137,1.0003,1.0089,1.0280,1.0610,0.0813,0.4491,0.7615,1.4236
122.4366,0.0935,-0.3569,-0.1378,0.3938,187.5652,102.0000,107.0000,110.0000,105.0000,13.0000,5.0000,9.0000,4.0000,11.0000,5.0000,8.0000,1.0000,10.6203,0.1016,0.1098,0.2206,3.2903,0.0240,0.0374,0.0651,122.4789,0.0968,0.3592,0.1522,2.2043,5.0279,2.1308,2.1810,-0.6070,1.4239,-0.7355,-0.5182,1.0003,1.0308,1.0052,1.1009,0.0868,1.0975,0.3080,1.6837
122.0877,0.2240,-0.3493,-0.1262,0.4337,225.6452,99.0000,125.0000,103.0000,107.0000,7.5000,7.0000,17.5000,5.0000,9.0000,3.0000,12.0000,3.0000,12.6056,0.2341,0.2069,0.4381,3.6190,0.0863,0.0560,0.1228,122.1396,0.2400,0.3532,0.1748,2.0687,1.6978,2.7164,1.9619,0.0012,0.5172,0.7496,-0.1000,1.0004,1.0692,1.0124,1.2312,0.1033,1.0803,0.5970,3.6668
123.0039,0.0921,-0.2775,0.0119,0.2927,203.6667,102.0000,111.0000,113.0000,90.0000,5.0000,9.5000,7.2500,3.0000,1.0000,10.0000,8.0000,2.0000,15.6682,0.1429,0.0834,0.2334,4.8787,0.0406,0.0275,0.0685,123.0966,0.0997,0.2793,0.0678,1.8162,2.8079,1.5939,2.5002,-0.0149,-0.8742,-0.1830,-0.7205,1.0008,1.0883,1.0047,1.1783,0.1274,1.6903,0.3005,4.6158
121.5845,0.2292,-0.3643,-0.1777,0.4657,197.5185,100.0000,124.0000,97.0000,103.0000,11.5000,12.2500,2.0000,6.0000,8.0000,13.0000,1.0000,1.0000,12.2425,0.1147,0.1448,0.1666,3.5692,0.0406,0.0382,0.0398,121.6349,0.2321,0.3667,0.1823,1.8045,2.0097,3.8606,3.6740,-0.0214,-0.7927,-1.3928,-0.9937,1.0004,1.0150,1.0053,1.0237,0.1007,0.5061,0.3979,0.9461
122.1072,0.2610,-0.4860,-0.1279,0.5663,211.5172,81.0000,127.0000,104.0000,110.0000,1.0000,10.0000,2.0000,3.0000,1.0000,10.0000,1.0000,1.0000,12.0097,0.1528,0.0450,0.2941,3.7150,0.0457,0.0139,0.0791,122.1617,0.2641,0.4865,0.1499,1.7858,1.9321,2.1142,3.2499,-0.1937,-0.4174,0.6260,-1.0569,1.0004,1.0148,1.0004,1.1695,0.0984,0.5916,0.0926,2.5049
122.5093,0.1708,-0.4381,-0.3742,0.6010,214.0000,102.0000,116.0000,104.0000,119.0000,6.2500,6.6667,14.0000,8.0000,5.0000,6.0000,18.0000,7.0000,12.1353,0.1060,0.0791,0.2904,3.6706,0.0343,0.0241,0.0809,122.5622,0.1746,0.4391,0.3845,2.1519,2.2623,1.7974,2.8278,-0.6198,0.7366,0.2891,-0.7065,1.0004,1.0191,1.0014,1.0220,0.0991,0.6244,0.1806,0.7802
124.4589,0.2100,-0.4129,-0.2484,0.5257,207.7959,113.0000,129.0000,117.0000,115.0000,3.0000,17.5000,18.0000,16.0000,3.0000,10.0000,16.0000,5.0000,15.8677,0.3308,0.2568,0.2298,4.3128,0.1156,0.0863,0.0721,124.5321,0.2393,0.4203,0.2603,1.9783,1.5279,1.9132,1.8040,-0.1324,-0.2197,0.5587,0.3937,1.0006,1.1384,1.0213,1.0399,0.1275,1.7405,0.6313,0.9394
127.1012,0.3112,-0.5471,-0.2882,0.6922,194.6071,86.0000,143.0000,106.0000,134.0000,2.0000,13.9167,8.2500,10.1667,1.0000,28.0000,11.0000,22.0000,22.2009,0.1717,0.1068,0.2431,7.5129,0.0466,0.0328,0.0807,127.3151,0.3124,0.5462,0.3008,1.5996,3.1822,1.8169,1.5565,-0.0488,-0.9614,-0.0138,-0.0937,1.0017,1.0109,1.0017,1.0366,0.1748,0.5590,0.1960,0.8542
126.6623,0.1570,-0.4837,-0.3761,0.6325,194.7200,101.0000,121.0000,113.0000,114.0000,6.0000,14.5000,12.5000,2.7500,4.0000,18.0000,22.0000,1.0000,20.6412,0.0516,0.1401,0.5077,6.7692,0.0157,0.0377,0.1451,126.8359,0.1576,0.4854,0.4065,1.6281,2.4270,2.5435,2.6580,-0.1233,0.8423,-0.7629,-0.7856,1.0014,1.0048,1.0029,1.0674,0.1631,0.3298,0.2898,1.3778
123.9464,0.2349,-0.1872,0.1775,0.3489,207.3125,102.0000,121.0000,107.0000,79.0000,17.5000,3.0000,14.4167,2.0000,8.0000,3.0000,15.0000,1.0000,14.5923,0.2372,0.1506,0.2821,4.6952,0.0702,0.0414,0.0909,124.0325,0.2461,0.1921,0.1965,1.6559,4.3660,2.9581,2.2638,-0.0972,1.6743,-0.9589,-0.7244,1.0007,1.0419,1.0232,1.1162,0.1178,1.0224,0.8107,1.7831
123.1887,0.2838,-0.6123,-0.4289,0.7996,203.5833,79.0000,127.0000,101.0000,132.0000,6.0000,13.3333,11.0000,2.0000,2.0000,10.0000,11.0000,1.0000,12.1778,0.0532,0.0967,0.3449,4.3748,0.0109,0.0325,0.1059,123.2631,0.2839,0.6136,0.4440,1.5637,4.0708,1.6183,2.6346,-0.3107,-0.0601,-0.4353,-0.9358,1.0006,1.0007,1.0013,1.0284,0.0989,0.1877,0.1579,0.8097
123.0492,0.2247,-0.2640,0.1485,0.3771,205.2500,91.0000,120.0000,108.0000,82.0000,2.5000,6.7500,10.7500,3.0000,2.0000,7.0000,17.0000,1.0000,10.2358,0.0817,0.0152,0.1816,3.4054,0.0251,0.0050,0.0605,123.0939,0.2263,0.2641,0.1583,2.2835,1.8600,1.6919,1.7406,-0.7284,-0.2825,0.0740,-0.2135,1.0004,1.0059,1.0002,1.0774,0.0832,0.3641,0.0576,1.2961
124.5584,0.2129,-0.3482,-0.1322,0.4290,215.4194,107.0000,123.0000,101.0000,109.0000,19.0000,12.5000,14.0000,7.0000,22.0000,12.0000,8.0000,6.0000,16.3997,0.0651,0.1389,0.2335,4.8468,0.0153,0.0421,0.0831,124.6496,0.2136,0.3518,0.1558,1.9122,3.5369,2.2619,1.5995,-0.2623,0.8474,-0.6952,-0.4491,1.0007,1.0025,1.0070,1.1745,0.1317,0.3061,0.3991,1.9477
123.2595,0.2164,-0.3563,-0.0923,0.4270,172.4762,95.0000,117.0000,107.0000,107.0000,6.0000,7.0000,10.6667,8.5000,4.0000,1.0000,18.0000,16.0000,13.7344,0.1379,0.0895,0.0807,4.5134,0.0424,0.0282,0.0263,123.3381,0.2216,0.3565,0.0956,1.8387,2.5448,1.6450,1.8706,-0.3187,0.7508,-0.1030,-0.3910,1.0006,1.0179,1.0030,1.0383,0.1115,0.6391,0.2521,0.8943
124.4649,0.3557,-0.4355,-0.2194,0.6036,196.6364,100.0000,139.0000,95.0000,109.0000,5.0000,9.0833,3.0000,7.7500,2.0000,11.0000,1.0000,3.0000,14.4447,0.1499,0.2211,0.2644,5.0675,0.0441,0.0777,0.0814,124.5633,0.3577,0.4437,0.2349,1.6178,1.9765,1.9256,2.7065,-0.2597,-0.3592,-0.7141,-0.9026,1.0008,1.0073,1.0150,1.0627,0.1161,0.4236,0.5096,1.2321
122.5604,0.0544,-0.4718,-0.4260,0.6380,179.8462,106.0000,106.0000,114.0000,127.0000,9.3333,3.0000,13.3333,13.5000,9.0000,1.0000,18.0000,10.0000,12.7174,0.1980,0.0937,0.2134,4.5388,0.0568,0.0307,0.0760,122.6412,0.0787,0.4730,0.4335,1.4487,2.4561,1.9191,1.5982,-0.1985,0.6006,-0.4012,-0.2636,1.0007,1.3059,1.0020,1.0151,0.1038,4.0702,0.1987,0.5035
122.8427,0.1340,-0.4955,-0.4003,0.6509,169.6957,111.0000,115.0000,107.0000,135.0000,1.0000,5.0000,14.2500,2.0000,1.0000,3.0000,15.0000,2.0000,12.5590,0.2102,0.3345,0.3770,4.0262,0.0675,0.1183,0.1150,122.9058,0.1495,0.5091,0.4185,2.0527,1.7422,1.6473,2.7836,-0.6255,0.1759,-0.2854,-0.9706,1.0005,1.1145,1.0269,1.0382,0.1023,1.6765,0.6839,0.9521
124.2315,0.2529,-0.2426,-0.0683,0.3570,225.2963,113.0000,124.0000,98.0000,93.0000,9.0000,2.0000,11.6667,3.0000,12.0000,2.0000,11.0000,2.0000,13.7948,0.1630,0.1295,0.2798,4.0163,0.0487,0.0336,0.0811,124.2940,0.2580,0.2451,0.1057,2.2707,2.4717,2.4018,2.1364,-0.6686,0.7983,-0.4155,-0.5092,1.0005,1.0176,1.0092,1.3481,0.1111,0.6484,0.5357,4.6967
123.4181,0.2340,-0.4505,-0.1916,0.5426,192.6667,79.0000,132.0000,111.0000,119.0000,2.0000,8.6667,14.2500,11.5000,1.0000,16.0000,13.0000,18.0000,12.4654,0.1860,0.2102,0.3194,3.8630,0.0684,0.0674,0.0925,123.4769,0.2431,0.4542,0.2127,1.9942,1.3679,2.7679,1.7612,-0.5663,0.1938,1.1042,0.0958,1.0005,1.0409,1.0109,1.1069,0.1010,0.8134,0.4708,1.7793
124.1126,0.2523,-0.2585,-0.1504,0.3913,174.0870,116.0000,126.0000,91.0000,102.0000,9.5000,12.0000,4.6667,10.1667,8.0000,11.0000,5.0000,12.0000,12.8266,0.1105,0.1167,0.2636,4.1349,0.0361,0.0395,0.0648,124.1784,0.2548,0.2615,0.1625,2.4495,1.7350,1.7903,2.8265,-0.8572,-0.3474,0.4416,0.4921,1.0005,1.0098,1.0111,1.0859,0.1034,0.4400,0.4540,1.8872
123.3456,0.3380,-0.4005,-0.3800,0.6474,216.2381,107.0000,138.0000,83.0000,120.0000,8.7500,8.5000,3.0000,9.0000,9.0000,18.0000,2.0000,10.0000,14.9459,0.0551,0.0278,0.1973,4.8130,0.0182,0.0082,0.0588,123.4350,0.3380,0.4007,0.3841,1.7934,1.7280,2.7039,2.2510,0.0298,-0.3541,-0.8935,0.4022,1.0007,1.0014,1.0002,1.0113,0.1212,0.1635,0.0695,0.5226
123.2105,0.1766,-0.3263,-0.1826,0.4135,186.2609,111.0000,115.0000,104.0000,98.0000,7.0000,8.0000,10.5000,3.0000,6.0000,1.0000,10.0000,1.0000,12.4576,0.1171,0.0830,0.4022,3.7307,0.0355,0.0321,0.1255,123.2645,0.1805,0.3286,0.2213,2.3886,3.0060,1.4936,2.6719,-0.7502,1.0721,-0.2248,-1.0116,1.0004,1.0190,1.0046,1.2016,0.1011,0.6670,0.2544,2.4166
123.5994,0.0959,-0.4351,-0.1959,0.4867,165.3600,101.0000,108.0000,118.0000,105.0000,8.0000,4.0000,14.1250,3.0000,7.0000,3.0000,19.0000,1.0000,12.2301,0.1424,0.1221,0.4646,4.1821,0.0481,0.0386,0.1423,123.6673,0.1082,0.4379,0.2430,1.8396,1.6122,1.6788,3.2187,-0.5713,-0.0382,-0.1791,-1.2342,1.0005,1.1109,1.0038,1.2211,0.0990,1.5673,0.2803,2.5966
122.3432,0.1727,-0.4094,-0.0719,0.4501,218.6000,91.0000,114.0000,112.0000,100.0000,2.0000,12.0000,9.0000,5.0000,2.0000,8.0000,12.0000,1.0000,12.4929,0.0565,0.0950,0.2883,4.0413,0.0197,0.0278,0.0797,122.4066,0.1740,0.4107,0.1070,2.0576,1.5919,2.4725,3.4437,-0.5140,0.0686,-0.6286,-1.1156,1.0005,1.0061,1.0022,1.4186,0.1021,0.3278,0.2320,5.1347
125.1218,0.2910,-0.2970,0.0003,0.4158,166.0690,98.0000,130.0000,98.0000,104.0000,3.0000,15.2500,17.0000,6.6667,2.0000,11.0000,12.0000,7.0000,15.1768,0.0833,0.1545,0.4090,4.9400,0.0198,0.0517,0.1478,125.2160,0.2917,0.3014,0.1452,1.9126,2.8022,1.5866,1.5619,-0.5448,0.0232,0.1361,-0.3848,1.0008,1.0022,1.0145,1.1117,0.1213,0.2866,0.5241,3.4079
124.0668,0.0851,-0.4310,-0.6144,0.7553,208.9524,125.0000,110.0000,98.0000,140.0000,7.7500,9.7500,14.8333,12.0000,9.0000,7.0000,10.0000,21.0000,14.3529,0.1074,0.1060,0.4131,4.8292,0.0331,0.0308,0.1351,124.1562,0.0913,0.4312,0.6262,1.9803,2.4372,2.5200,2.6071,-0.6153,0.7427,0.8293,1.0066,1.0007,1.0691,1.0024,1.0229,0.1157,1.3014,0.2467,0.6840
126.8268,0.1558,-0.2386,0.1898,0.3424,175.5417,100.0000,120.0000,118.0000,85.0000,13.5000,10.6667,12.0000,5.2500,11.0000,11.0000,18.0000,5.0000,17.7288,0.1307,0.0461,0.1629,5.7149,0.0480,0.0114,0.0379,126.9502,0.1632,0.2392,0.1926,1.9170,1.4971,2.8344,5.0823,-0.4908,0.3307,-0.1415,-1.3612,1.0010,1.0442,1.0011,1.0191,0.1399,0.8552,0.1931,0.8720
122.7830,0.0404,-0.2865,-0.1431,0.3228,207.3810,115.0000,101.0000,117.0000,103.0000,1.7500,4.0000,8.6667,1.0000,1.0000,2.0000,16.0000,1.0000,12.7246,0.0954,0.0641,0.3383,4.0980,0.0305,0.0165,0.1140,122.8481,0.0508,0.2873,0.1832,1.7369,1.7478,4.6656,2.5875,-0.1302,0.1747,-1.4876,-1.0485,1.0005,1.2311,1.0016,1.2585,0.1037,2.8189,0.2237,2.6549
125.8661,0.1279,-0.1335,0.2218,0.2887,208.7308,127.0000,114.0000,113.0000,77.0000,10.1250,8.0000,14.0000,5.0000,27.0000,6.0000,12.0000,4.0000,19.1356,0.1616,0.1774,0.2989,6.0087,0.0484,0.0558,0.1149,126.0040,0.1380,0.1457,0.2486,1.8614,1.9112,2.2087,1.2998,-0.3900,0.0566,-0.5682,0.0341,1.0011,1.0649,1.0790,1.1218,0.1521,1.2937,1.3682,1.4520
122.3933,0.2115,-0.1348,0.2478,0.3526,240.6818,107.0000,119.0000,101.0000,74.0000,11.3333,5.0000,5.0000,7.0000,14.0000,6.0000,3.0000,4.0000,11.4915,0.1665,0.1265,0.1919,3.7654,0.0418,0.0392,0.0707,122.4486,0.2157,0.1410,0.2564,1.7801,3.1455,1.7628,1.4711,-0.3275,0.7268,-0.2577,0.2013,1.0005,1.0184,1.0390,1.0384,0.0939,0.7930,0.9511,0.7925
123.8848,0.1248,-0.4344,-0.1743,0.4845,181.8611,95.0000,115.0000,115.0000,123.0000,5.5000,6.7500,11.0000,6.0000,6.0000,3.0000,14.0000,2.0000,14.8161,0.1737,0.2571,0.5370,4.6922,0.0544,0.0860,0.1604,123.9711,0.1362,0.4419,0.2360,1.6051,2.7633,1.5516,2.6291,-0.0485,1.0896,-0.2129,-1.0026,1.0007,1.0878,1.0189,1.3461,0.1196,1.4450,0.5984,3.8084
123.2897,0.1647,-0.3333,-0.0312,0.3731,195.2000,99.0000,117.0000,110.0000,94.0000,7.0000,14.0000,10.5000,5.0000,7.0000,11.0000,8.0000,2.0000,12.4985,0.1218,0.1933,0.2249,3.7524,0.0426,0.0509,0.0516,123.3449,0.1700,0.3376,0.0601,2.2739,1.4177,3.6011,6.2422,-0.5990,-0.1656,-1.2610,-1.9258,1.0004,1.0318,1.0112,1.6084,0.1014,0.7518,0.5820,8.0121
128.9136,-0.0353,-0.4652,-0.5084,0.6901,213.1190,140.0000,103.0000,136.0000,154.0000,11.0833,2.0000,14.0000,17.4000,30.0000,1.0000,30.0000,36.0000,28.5806,0.3311,0.3104,0.5274,8.9062,0.1080,0.1070,0.1516,129.2136,0.1108,0.4780,0.5278,1.8659,1.6290,1.7948,2.3614,0.3119,0.2993,0.6311,0.6328,1.0023,1.1108,1.0254,1.0429,0.2220,3.6273,0.6753,1.0697
129.5081,0.1539,-0.2840,-0.2031,0.3816,210.6286,137.0000,131.0000,117.0000,115.0000,12.0833,9.6667,13.9167,17.0000,31.0000,10.0000,21.0000,9.0000,25.1777,0.3455,0.1481,0.4232,8.6123,0.1409,0.0474,0.1205,129.7860,0.2100,0.2887,0.2322,1.5734,1.4026,1.8979,2.4022,-0.1878,0.3827,-0.6275,0.7696,1.0021,1.3334,1.0134,1.1226,0.1946,2.8257,0.5234,2.2682
122.2866,0.1926,-0.0948,0.3314,0.3948,200.5000,111.0000,118.0000,104.0000,69.0000,11.0000,6.5000,8.7500,3.0000,18.0000,9.0000,9.0000,1.0000,14.5603,0.0786,0.1683,0.1574,4.4369,0.0210,0.0567,0.0565,122.3637,0.1941,0.1108,0.3357,1.9416,2.4594,2.6523,1.4827,0.1487,0.5912,-1.0826,0.1069,1.0006,1.0056,1.1554,1.0138,0.1191,0.4083,1.8885,0.4788
122.9417,0.1772,-0.2581,-0.1869,0.3646,203.3488,117.0000,120.0000,98.0000,94.0000,17.2500,8.2500,6.0000,4.0000,11.0000,5.0000,8.0000,1.0000,14.3047,0.2178,0.2805,0.4920,4.0950,0.0557,0.0821,0.1478,123.0083,0.1854,0.2716,0.2393,1.9179,2.4582,1.8875,2.1247,0.3185,0.2721,-0.3603,-0.7649,1.0005,1.0472,1.0479,1.2624,0.1164,1.2618,1.1091,3.0358
126.6676,0.1418,-0.3501,-0.2835,0.4723,166.3478,120.0000,116.0000,109.0000,124.0000,7.5000,15.5000,13.3333,2.0000,12.0000,11.0000,20.0000,2.0000,20.5018,0.0809,0.1887,0.6240,6.7474,0.0255,0.0460,0.1982,126.8394,0.1451,0.3527,0.3441,1.9406,1.9230,2.9002,2.1818,-0.5359,-0.1156,0.0771,-0.6418,1.0014,1.0151,1.0083,1.2105,0.1620,0.5707,0.5419,2.4882
125.0039,0.1518,-0.5243,-0.4742,0.7230,197.9630,101.0000,123.0000,105.0000,138.0000,15.0000,9.5000,7.0000,14.0000,10.0000,12.0000,3.0000,18.0000,17.1373,0.2151,0.1192,0.2292,5.6065,0.0746,0.0303,0.0676,125.1249,0.1678,0.5241,0.4775,1.6782,1.7241,4.3425,2.4846,-0.2009,-0.5357,1.4134,0.7446,1.0010,1.1113,1.0016,1.0098,0.1372,1.5480,0.2280,0.4873
122.5530,0.1015,-0.4281,-0.1240,0.4571,192.4231,96.0000,111.0000,114.0000,109.0000,4.5000,11.5833,14.5000,1.0000,5.0000,13.0000,10.0000,1.0000,12.6045,0.0805,0.2505,0.4034,3.9407,0.0266,0.0908,0.1228,122.6139,0.1042,0.4368,0.1735,1.7524,1.5469,1.6444,2.4628,-0.2969,-0.1359,0.4427,-0.7430,1.0005,1.0328,1.0215,1.3524,0.1029,0.8115,0.5927,4.1499
126.2015,0.1403,-0.3084,0.0153,0.3392,200.6522,105.0000,120.0000,117.0000,105.0000,17.5000,9.0000,27.0000,21.0000,17.0000,6.0000,23.0000,22.0000,21.2662,0.2079,0.1907,0.1890,7.0505,0.0554,0.0638,0.0507,126.3940,0.1508,0.3137,0.0526,1.5494,3.9204,1.4796,3.0575,0.0400,1.2382,-0.0256,1.0561,1.0015,1.0733,1.0209,1.3923,0.1686,1.5307,0.6272,6.1733
122.8111,0.1215,-0.2811,-0.1701,0.3503,190.5000,113.0000,111.0000,103.0000,100.0000,4.0000,6.5000,13.0833,4.0000,4.0000,4.0000,13.0000,3.0000,10.8834,0.1114,0.1119,0.1152,3.6693,0.0327,0.0296,0.0418,122.8632,0.1259,0.2829,0.1759,1.8804,2.3768,3.2666,1.4364,-0.5039,0.6267,-0.9757,-0.2141,1.0004,1.0336,1.0053,1.0280,0.0886,0.9302,0.3985,0.6830
